name,description,location,instances,viz,generator
NewtonZero,Example with Newton root-finding method.,/NewLanguageExamples/NewtonZero/,0,TextViz.TextVisualizer,
NewLanguage,Example with new language features.,/NewLanguageExamples/NewLanguage/,0,TextViz.TextVisualizer,
RecSim,"A problem of recommendation systems, with consumers and providers.",/RecSim/,"1c,0,4c,2c,2,1,3c,5c",RecSimViz.RecSimVisualizer,RecSimInstanceGenerator.RecSimInstanceGenerator
RaceCar,A simple continuous MDP for the racecar problem.,/RaceCar/,"1c,0,4c,2c,1,3c,5c",RacecarViz.RacecarVisualizer,RaceCarInstanceGenerator.RaceCarInstanceGenerator
PowerGen_continuous,A continuous simple power generation problem loosely modeled on the problem of unit commitment.,/PowerGen/Continuous/,"1c,0,4c,2c,3c,5c",PowerGenViz.PowerGenVisualizer,PowerGenInstanceGenerator.PowerGenInstanceGenerator
PowerGen_discrete,A simple power generation problem loosely modeled on the problem of unit commitment.,/PowerGen/Discrete/,0,PowerGenViz.PowerGenVisualizer,
HVAC,Multi-zone and multi-heater HVAC control problem,/HVAC/,"1c,0,4c,2c,2,1,3c,5c",HVACViz.HVACVisualizer,HVACInstanceGenerator.HVACInstanceGenerator
Reservoir_continuous,Continuous action version of management of the water level in interconnected reservoirs.,/Reservoir/Continuous/,"1c,0,4c,2c,1,3c,5c",ReservoirViz.ReservoirVisualizer,ReservoirInstanceGenerator.ReservoirInstanceGenerator
Reservoir_discrete,Discrete version of management of the water level in interconnected reservoirs.,/Reservoir/Discrete/,"0,1",ReservoirViz.ReservoirVisualizer,
Elevators,The Elevator domain models evening rush hours when people from different floors in a building want to go down to the bottom floor using elevators.,/Elevators/,"0,2,1,3",ElevatorViz.ElevatorVisualizer,
PropDBN,Simple propositional DBN.,/PropDBN/,0,TextViz.TextVisualizer,
Traffic,BLX/QTM traffic model.,/Traffic/,"0,1",TrafficViz.TrafficVisualizer,
UAV_continuous,Continuous action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Continuous/,"1c,0,4c,2c,1,3c,5c",UAVsViz.UAVsVisualizer,UAVInstanceGenerator.UAVInstanceGenerator
UAV_discrete,Discrete action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Discrete/,0,UAVsViz.UAVsVisualizer,
UAV_mixed,Mixed action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Mixed/,0,UAVsViz.UAVsVisualizer,
MarsRover,"Multi Rover Navigation, where a group of agent needs to harvest mineral.",/MarsRover/,"1c,0,4c,2c,3c,5c",MarsRoverViz.MarsRoverVisualizer,MarsRoverInstanceGenerator.MarsRoverInstanceGenerator
CartPole_continuous,"A simple continuous state-action MDP for the classical cart-pole system by Rich Sutton, with actions that describe the continuous force applied to the cart.",/CartPole/Continuous/,0,CartPoleViz.CartPoleVisualizer,
CartPole_discrete,"A simple continuous state MDP for the classical cart-pole system by Rich Sutton, with discrete actions that apply a constant force on either the left or right side of the cart.",/CartPole/Discrete/,0,CartPoleViz.CartPoleVisualizer,
SupplyChain,A supply chain with factory and multiple warehouses.,/SupplyChain/,0,TextViz.TextVisualizer,
SupplyChainNet,A supply chain network with factory and multiple warehouses.,/SupplyChainNet/,0,TextViz.TextVisualizer,
Wildfire,A boolean version of the wildfire fighting domain.,/Wildfire/,0,WildfireViz.WildfireVisualizer,
MountainCar,A simple continuous MDP for the classical mountain car control problem.,/MountainCar/,"1c,0,4c,2c,0_old,3c,5c",MountainCarViz.MountainCarVisualizer,MountainCarInstanceGenerator.MountainCarInstanceGenerator
